Note: For the actual contract source codes use the api endpoints at https://docs.moonscan.io/v/moonbase/api-endpoints/contracts,,
Txhash,ContractAddress,ContractName
0x98af1302d2b90734580f474c057b270abaae0bd1eaa8c390b6ec9709c872a2a9,0xa9fF46F8A31ceA81C40360893f6609d4bd5A961d,ShowcaseMinter
0xd239b7dec1e9a0cb98ac04631a8b68f2483f65680b3cb87418f136dc7b7aafa0,0x08724CabcCe0b439F31080c64B9e484F1dD8d1F6,Showcase
0x907962a0a8064bae98f2cdaccdb0a4db1b07be3c60c9b252033378e5dc2cb8c6,0xd6B11Ea49A508f0D556FCbD34659cD16053Fe7BD,Emblem
0xf50939aba0f9ba87dabf895b4352c21378709d6a008ec4df9e58cda49b75753a,0xC525F76C133Ec5921cB951652F73762E8E04397D,BadgeMinter
0xb70b5f5e60208d00dd5932093b290ccd447ce81752b28363b81b3555ed8d2665,0xC9D18aAA5C14F82DC66c8DDcdd553D7Fb024F472,Badge
0x36ffc67a97220438f750f6715d5ca0667009b5be597cf3ac81908962c3aafe1d,0x9D36aB41B3852CC285eb664c5509DE95096Ca175,ShowcaseMinter
0x8b8bdcc5d992f240ec435828a0b5ee2370003cb658c59c4e1897f3825250d86e,0x850d06Db027d6E6CDF2377AA472A40333596a5a1,Showcase
0xf9167253a693d4d38d475a86e6ff29b9626fc31fefdac538729a6884bd21efa8,0x2D30139d2D6261FFc4022ef8A3FFd641bA9d86b3,Emblem
0x83acaba2401e9f98cab775cc5552dc0c5eb9025643690cf467b2fd1d31d94f4b,0x43e6d20111f92317d78E49722082Ad99F9e6fC7e,Badge
0xdd02e83d8ebf0d07da2fae0420ae2473b057d1fb55bc401c0f8096d895e919f4,0x764F4b1B8ACBE334C213B5546aA0d7FCB8f95570,Showcase
0x9eb6ccd5b1055af99527baffb8add134722fee3bd7cf0b4b84ea463633588209,0xe6608e458Bc333f68b48FBF5cf562bD181ab43C1,Emblem
0xf05fd053a750fc6bbdb8f2c1045fddd2a40a49e6d308c227a619fe7ac3602801,0xcF55E29C6d77e2Ae32742E328481fEe8ba5e4fa8,Badge
0xfb684d79ecff73be5a54b1ffdca4f0f4dfb2ecb4be300677b8dc7e43ff391c93,0x78aB133cf7e851b29a68414956EF3ed43bd64436,Showcase
0xdcaa82a84d0d95b6a1eed2d77136435601b8d865d261fb871a33ea2f91e6061f,0x5711c9B4Ef7DFC55063E10a5f24B0a9183F2F817,Emblem
0x0eb9db5851c8ac1f2cf8d7b5d66fa9c51162c7f11ead4844190bb5099209b7f5,0x569b5C970A650381381de7e17f0F02fCE0f5C136,Bridge
0x18b62721c859d4d27e5a5526fb55dc1afd1303f46a80c4c0418ce544786dc8ad,0x4e6c6C1Ca99fa97b5eE720c4BEA25FE761a27D81,SightseaV1
0x38ce4da776c2daf0389221e69bf9be57a7ab6dbb360704ca2702808e1ade7199,0x897692106d1380f95aBcEB0538E5d1880dd0E69f,Bridge
0x9c2888c25217f2c0f292e4380ec5cbe062514cc60b087ece49cb88b92b68b3ec,0xf83694b6405db86ec6b0189da9649346347a14d9,SightseaV1
0xac25232f0a77a821631ce5781180e44fabccb014d1a8e92f5e6da7a05ff454b9,0x3a1ab9dbcbfe6343a411ae6181e90eab8b3dd84e,SightseaV1
0x0c34f221f340ea0b13366620b6466f802d29abd62adec09e2556e444ad7d2403,0x206E69127920bCe8D2608B2d939d97E4c0614528,Bridge
0xaf1a37a82c063d3043bf7808646b1f446ad2664bfa1d9c0b24fd12407e085847,0xB8665B5a8c049dD0B907B805D457193D01d72A27,Incrementer
0x4b2d2e045cafbe74cfb49486a692cb364a10409f0fe4565cc7e82a511741af3d,0x392438392382bc0ba33ae0202b93a06f0b0d0900,GlacisLayerZeroAdapter
0xb58ff18e214d6c6376e3151dee215916fa7d3cdd244fe6e415f1af4ebe17ec64,0x1ebeaa7e0806b3d346c8c75cf70968814fd5746b,GlacisRouter
0xb7344c128bc44a09357e0ea2419467e4a8b4212015e887d12e4bb8402f5fdb05,0x45833616317b469ab4f5e5a5cfbc298a761a9c52,GlacisAxelarAdapter
0xc8706619c2827c1d9fcce3f3a431c78cd40be9a968274b42c33d3fc6d15d4e9b,0x6b2b3330fFfdCB8Db2671750254783ba30440C18,GlacisDAOSample
0x285529fb7ae1f1179852a9b0699bde2b5bede078b960cebf3ef7b70fb550d945,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,CreateX
0x1ead34a3f02d03ffcad25a30f0c2ca8dcfe94fcef15cac0d1ff2c2c3b500be49,0xc16beedf9372d55ec526759e50560d78934861cd,SigmaCoin
0xdcdb2c16ae2c90dbd67e709f7fc54da0e7a514b2af13db9a320776c2af4d692e,0x80830586FfE4A7388c78747084A0C91Ce189699e,YourContract
0x856f36493ef7de4fc8aa85e9148f0b6533b61592f89d582832ba37e2059b688b,0x01a516369F27f7373F4169F1Ed656B2C93F01C58,YourContract
0x330218ee6eeb467374a0d7a3c46a0e9f741f01b17e6c6e4b010b27ca6eafe545,0x94d1f8B7bfB12877bDaaF70b70E625983F492776,Box123123
0x4a73bb5cb6b15c573a20b36a477b350b160c09801f0e0611a835547289b64579,0xCc3377295Bc9a29A34be1dcA16d5309C3029B455,Box
0x198275bd5531c953d260ba79c97f032f1119cc7371bf0bbfd4af13245aa6b21a,0x1c4ef7e0015c2b8d502e8449e882b119dc978b01,SimpleMultiSender
0xda2cb83b2f1bc492d18a58767e103e45bd690003c0b977b903c2bed4b85b496a,0xEEF90e3855dDD9AE207f07b95104546bB235D68F,Multicall
0x986de82c1bb354b7ef21048feb22fd92a944ddbb599194aae7f932de4a6d5e8d,0x9bA569517e92030887a1383B1b2Ef7d1cFe3d64D,GlacisDAOSample
0x8ac55c5ba4c1fbe5e3224ae940df1de73f390779fb6cb7e3adf379c729f8c7b4,0xf6bb51de7a12d4cd6db88f1323b84204f3e3a87a,SightseaV3
0xbbd795f08cc8ab872a740212d8304989da9a2e103b1591445b1f077c9492eedf,0xee67b494f53ab76a51fd73d2a847b7c119fb9d6b,Bridge
0xf2892aeef058eb45f36566624015b45ed5ed70d2b8badcc09cccf83acad7513a,0xDbC55f0eAA40F1A77FB1992F5e75bc9a30B4ADBA,MiauToken
0x6bf36c5b07fc4ff2fc83b2f2fcaed2097cccec3db8e7648ebae262d6933719d1,0x4B4c9E5f2e17a7040C79A9AE748158D6405122B5,GlacisDAOSample
0xeda17a4526a441ee168d7e04956293f8cf3260d32e2e70b3789bc2c775922910,0x19A55f80D7630d6eb5bEbf8C222cdE3A24a63d19,Minter
0x410f3fedfb1db69773bd16b9474ee0ca0d44f591f641eadd6950564fd58cfb22,0x05EB5752d06B294c41f68eAdeEB9920fCFBAC2E7,Levelizoor
0xa9732e8fbbc085dc8bd50cd77d9999d1247c88154c813ea119e603dee46833c6,0x2015b8b867B047B01E30d8694d0d1EC562c0Cc6f,SoulboundAmbassadorNFT
0x6e91f3f35877181ad9b0309795308e0f9c74159173e5e9fc8f062d67b5cb538f,0xcb1aD679f4f26949884439d5aC440e2d4bc81c7C,Incrementer
0x3e99a5764140c6b1694904f4d481636df285c3147cb592134175e01f4978c483,0xB04aDC01d34b55F6295580a70dFdE9746a563d46,Vote
0x5b6dc280800181d0f4769d155e57ecd819cdbe1f26569d46b6ac17b87da5618a,0x41b87917b2d2d43f44d010a3fd184ebf1ce31334,SightseaV1
0x53a1d122c62db77d32c46249141b058762643b18204bdd0e8645d25d4364978c,0x6bfdbc097763a8f12879fa6171c6314f78d3261b,SightseaV1
0xaa71bb3ea817012187449aef9e7ea4ca1b5c542549dd1fd308d6bc7cecbc23c2,0x04c70826c32817261aa2c51732c2d8f5ba9ebfca,SightseaV1
